PrimaryKey,Subj,CRS,Cmp,Sctn,Days,Start_Time,End_Time,Mtg_start_Date,Mtg_End_Date,Duration,Instruction_Mode,Building,Room,Instr,Enrl_Cap,Wait_Cap,Cmbnd_Descr,Cmbnd_Enrl_Cap,Course_Name,start,end
CSE303.1,CSE,303,LEC,1,MWF,12:00:00,12:53:00,1/25/2021 0:00,5/19/2021 0:00,53,In Person,TBA,TBA,Pramod Ganapathi,250,30,N/A,N/A,Introduction to the Theory of Computation,12:00 PM,12:53 PM
CSE306.1,CSE,306,LEC,1,TUTH,10:00:00,11:20:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Eugene Stark,150,20,N/A,N/A,Operating Systems,10:00 AM,11:20 AM
CSE307.1,CSE,307,LEC,1,TUTH,16:00:00,17:20:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Joydeep Mitra,80,15,N/A,N/A,Principles of Programming Languages,4:00 PM,5:20 PM
CSE310.1,CSE,310,LEC,1,MW,16:00:00,17:20:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Aruna Balasubramanian,200,50,N/A,N/A,Computer Networks,4:00 PM,5:20 PM
CSE311.1,CSE,311,LEC,1,TUTH,10:00:00,11:20:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,COMPUTER SCI,2120,Ahmad Esmaili,25,0,CSE311.01/ISE311.01,75,Systems Administration,10:00 AM,11:20 AM
CSE312.1,CSE,312,LEC,1,MW,14:30:00,15:50:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Anthony Scarlatos,120,0,CSE312.01/ISE312.01,120,"Legal, Social, and Ethical Issues in Information Systems",2:30 PM,3:50 PM
CSE312.2,CSE,312,LEC,2,MW,19:00:00,20:20:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Michael Tashbook,120,0,CSE312.02/ISE312.02,120,"Legal, Social, and Ethical Issues in Information Systems",7:00 PM,8:20 PM
CSE316.1,CSE,316,LEC,1,TUTH,10:00:00,11:20:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Richard McKenna,120,20,N/A,N/A,Fundamentals of Software Development,10:00 AM,11:20 AM
CSE320.1,CSE,320,LEC,1,TUTH,13:00:00,14:20:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Eugene Stark,250,30,N/A,N/A,System Fundamentals II,1:00 PM,2:20 PM
CSE327.1,CSE,327,LEC,1,TUTH,16:00:00,17:20:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Dimitrios Samaras,40,10,N/A,N/A,Fundamentals of Computer Vision,4:00 PM,5:20 PM
CSE334.1,CSE,334,LEC,1,TUTH,11:30:00,12:50:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,COMPUTER SCI,2205,Anthony Scarlatos,11,0,CSE334.01/ISE334.01,40,Introduction to Multimedia Systems,11:30 AM,12:50 PM
CSE337.1,CSE,337,LEC,1,TUTH,17:30:00,18:50:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Michael Tashbook,100,0,CSE337.01/ISE337.01,100,Scripting Languages,5:30 PM,6:50 PM
CSE351.1,CSE,351,LEC,1,TUTH,16:00:00,17:20:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Praveen Tripathi,100,0,N/A,N/A,Introduction to Data Science,4:00 PM,5:20 PM
CSE352.1,CSE,352,LEC,1,HTBA,13:00:00,13:00:00,1/25/2021 0:00,5/19/2021 0:00,0,In Person,TBA,TBA,Niranjan Balasubramanian,100,0,N/A,N/A,Artificial Intelligence,1:00 AM,1:00 AM
CSE354.1,CSE,354,LEC,1,MW,16:00:00,17:20:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Hansen Schwartz,100,20,N/A,N/A,Natural Language Processing,4:00 PM,5:20 PM
CSE371.1,CSE,371,LEC,1,TUTH,13:00:00,14:20:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Anita Wasilewska,60,0,CSE/MAT371.01,60,Logic,1:00 PM,2:20 PM
CSE373.1,CSE,373,LEC,1,TUTH,14:30:00,15:50:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Rezaul Chowdhury,120,0,CSE373.01/MAT373.01,200,Analysis of Algorithms,2:30 PM,3:50 PM
CSE376.1,CSE,376,LEC,1,MW,8:30:00,9:50:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,120,Erez Zadok,80,0,N/A,N/A,Advanced System Programming in UNIX/C,8:30 AM,9:50 AM
CSE380.1,CSE,380,LEC,1,TUTH,14:30:00,15:50:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Richard McKenna,100,30,N/A,N/A,Computer Game Programming,2:30 PM,3:50 PM
CSE385.1,CSE,385,LEC,1,TUTH,11:30:00,12:50:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Michael Bender,60,0,N/A,N/A,Analysis of Algorithms: Honors,11:30 AM,12:50 PM
CSE385.R01,CSE,385,REC,R01,RETH,14:00:00,14:53:00,1/25/2021 0:00,5/19/2021 0:00,53,In Person,TBA,TBA,Michael Bender,60,0,N/A,N/A,Analysis of Algorithms: Honors,2:00 PM,2:53 PM
CSE416.1,CSE,416,LEC,1,TUTH,19:00:00,20:20:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Robert Kelly,70,10,N/A,N/A,Software Engineering,7:00 PM,8:20 PM
CSE416.2,CSE,416,LEC,2,TUTH,11:30:00,12:50:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Scott Stoller,70,10,N/A,N/A,Software Engineering,11:30 AM,12:50 PM
CSE506.1,CSE,506,LEC,1,TUTH,8:30:00,9:50:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Dongyoon Lee,150,0,N/A,N/A,Operating Systems,8:30 AM,9:50 AM
CSE512.1,CSE,512,LEC,1,TUTH,10:00:00,11:20:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Minh Hoai Nguyen,150,0,N/A,N/A,Machine Learning,10:00 AM,11:20 AM
CSE526.1,CSE,526,LEC,1,MF,13:00:00,14:20:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Yanhong Liu,100,10,N/A,N/A,Principles of Programming Languages,1:00 PM,2:20 PM
CSE527.1,CSE,527,LEC,1,MW,19:00:00,20:20:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Haibin Ling,120,0,N/A,N/A,Introduction to Computer Vision,7:00 PM,8:20 PM
CSE532.1,CSE,532,LEC,1,TUTH,17:30:00,18:50:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Michael Kifer,150,34,N/A,N/A,Theory of Database Systems,5:30 PM,6:50 PM
CSE540.1,CSE,540,LEC,1,TUTH,14:30:00,15:50:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Omkant Pandey,150,0,N/A,N/A,Theory of Computation,2:30 PM,3:50 PM
CSE541.1,CSE,541,LEC,1,TUTH,16:00:00,17:20:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Anita Wasilewska,120,15,N/A,N/A,Logic in Computer Science,4:00 PM,5:20 PM
CSE544.1,CSE,544,LEC,1,TUTH,13:00:00,14:20:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Anshul Gandhi,100,0,N/A,N/A,Prob/Stat for Data Scientists,1:00 PM,2:20 PM
CSE545.1,CSE,545,LEC,1,TUTH,11:30:00,12:50:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Hansen Schwartz,150,28,N/A,N/A,Big Data Analytics,11:30 AM,12:50 PM
CSE548.1,CSE,548,LEC,1,MW,16:00:00,17:20:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Rezaul Chowdhury,180,0,CSE548.01/AMS542.01,180,Analysis of Algorithms,4:00 PM,5:20 PM
CSE550.1,CSE,550,LEC,1,TU,9:30:00,10:30:00,1/25/2021 0:00,5/19/2021 0:00,60,In Person,TBA,120,Predrag Krstic,20,0,DCS501.01/ESE523.01/CSE550.01,20,Quantum Computing and Applications,10:31 AM,11:30 AM
CSE550.S01,CSE,550,SEM,S01,TU,10:30:00,11:30:00,1/25/2021 0:00,5/19/2021 0:00,59,In Person,TBA,120,Predrag Krstic,20,0,DCS501.R01/ESE523.R01/CSE550.S,20,Quantum Computing and Applications,9:30 AM,10:30 AM
CSE555.1,CSE,555,LEC,1,TUTH,10:00:00,11:20:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Joseph Mitchell,60,0,AMS545.01/CSE555.01,60,Computational Geometry,10:00 AM,11:20 AM
CSE564.1,CSE,564,LEC,1,TUTH,19:00:00,20:20:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Klaus Mueller,250,6,N/A,N/A,Visualization,7:00 PM,8:20 PM
CSE566.1,CSE,566,LEC,1,W,14:30:00,17:20:00,1/25/2021 0:00,5/19/2021 0:00,170,In Person,TBA,220,Arie Kaufman,30,0,N/A,N/A,Virtual Reality,2:30 PM,5:20 PM
CSE600.S01,CSE,600,SEM,S01,F,14:30:00,15:30:00,1/25/2021 0:00,5/19/2021 0:00,60,In Person,TBA,120,Samir Das,80,10,N/A,N/A,Topics in Modern Computer Science,2:30 PM,3:30 PM
CSE645.S01,CSE,645,SEM,S01,TH,11:30:00,12:50:00,1/25/2021 0:00,5/19/2021 0:00,80,In Person,TBA,TBA,Paul Fodor; Michael Kifer; C Ramakrishnan; Yanhong Liu,30,0,N/A,N/A,Languages,11:30 AM,12:50 PM
